TIME,CH1,CH2,CH3
-3.80E-05,0.05,-7.15E-09,0.003
-3.80E-05,0.05,0.08,0.003
-3.80E-05,0.05,0.08,0.001
-3.80E-05,0.05,0.08,0.001
-3.80E-05,0.05,-7.15E-09,0.001
-3.80E-05,0.05,0.08,0.003
-3.80E-05,0.07,-7.15E-09,0.003
-3.80E-05,0.07,-7.15E-09,0.003
-3.80E-05,0.07,-7.15E-09,0.003
-3.80E-05,0.07,-7.15E-09,0.003
-3.80E-05,0.05,-7.15E-09,0.001
-3.80E-05,0.05,0.08,0.001
-3.80E-05,0.05,0.08,0.001
-3.80E-05,0.05,0.08,0.001
-3.80E-05,0.07,-7.15E-09,0.001
-3.80E-05,0.05,0.08,0.001
-3.80E-05,0.05,-7.15E-09,0.001
-3.80E-05,0.05,-7.15E-09,0.001
-3.80E-05,0.07,-7.15E-09,0.001
-3.80E-05,0.05,-7.15E-09,0.001
-3.80E-05,0.05,-7.15E-09,0.001
-3.80E-05,0.05,-7.15E-09,0.001
-3.80E-05,0.07,-7.15E-09,0.001
-3.80E-05,0.07,-7.15E-09,0.001
-3.80E-05,0.07,-0.08,0.001
-3.80E-05,0.05,-7.15E-09,0.003
-3.80E-05,0.07,-7.15E-09,0.001
-3.80E-05,0.05,-7.15E-09,0.001
-3.80E-05,0.05,-7.15E-09,0.001
-3.80E-05,0.05,-7.15E-09,0.001
-3.80E-05,0.07,-7.15E-09,0.001
-3.80E-05,0.05,0.08,0.001
-3.80E-05,0.07,0.08,0.001
-3.80E-05,0.05,0.08,0.001
-3.80E-05,0.05,-7.15E-09,0.001
-3.80E-05,0.05,0.08,0.001
-3.80E-05,0.05,-7.15E-09,0.001
-3.80E-05,0.05,0.08,0.003
-3.80E-05,0.07,-7.15E-09,0.001
-3.80E-05,0.05,0.08,0.001
-3.80E-05,0.07,-7.15E-09,0.001
-3.80E-05,0.05,0.08,0.001
-3.80E-05,0.05,0.08,0.001
-3.80E-05,0.05,0.08,0.003
-3.80E-05,0.05,-7.15E-09,0.001
-3.80E-05,0.05,-7.15E-09,0.003
-3.80E-05,0.05,0.08,0.001
-3.80E-05,0.05,0.08,0.001
-3.80E-05,0.07,-7.15E-09,0.003
-3.80E-05,0.05,-7.15E-09,0.003
-3.80E-05,0.05,0.08,0.001
-3.79E-05,0.05,0.08,0.001
-3.79E-05,0.05,-7.15E-09,0.001
-3.79E-05,0.05,-7.15E-09,0.001
-3.79E-05,0.07,-7.15E-09,0.001
-3.79E-05,0.05,0.08,0.001
-3.79E-05,0.05,-7.15E-09,0.001
-3.79E-05,0.05,-7.15E-09,0.001
-3.79E-05,0.05,-7.15E-09,-0.001
-3.79E-05,0.05,0.08,0.001
-3.79E-05,0.05,-7.15E-09,0.001
-3.79E-05,0.07,0.08,0.003
-3.79E-05,0.07,-7.15E-09,0.001
-3.79E-05,0.07,-7.15E-09,0.003
-3.79E-05,0.05,-7.15E-09,0.001
-3.79E-05,0.05,-7.15E-09,0.001
-3.79E-05,0.07,-7.15E-09,-0.001
-3.79E-05,0.05,0.08,0.001
-3.79E-05,0.07,-7.15E-09,0.001
-3.79E-05,0.05,-7.15E-09,0.001
-3.79E-05,0.07,-7.15E-09,-0.001
-3.79E-05,0.05,0.08,-0.001
-3.79E-05,0.05,-7.15E-09,-0.001
-3.79E-05,0.05,0.08,0.001
-3.79E-05,0.07,-7.15E-09,0.001
-3.79E-05,0.05,0.08,0.003
-3.79E-05,0.05,-7.15E-09,0.001
-3.79E-05,0.05,-7.15E-09,0.001
