index,time,A,B,C
0.0,0.0,0.0,-39.37007874015748,-39.37007874015748
1.0,8.000266675555852e-10,0.0,-39.37007874015748,0.0
2.0,1.6000533351111703e-09,-39.37007874015748,0.0,0.0
3.0,2.4000800026667557e-09,0.0,0.0,-39.37007874015748
4.0,3.2001066702223406e-09,0.0,-39.37007874015748,0.0
5.0,4.000133337777926e-09,39.37007874015748,-39.37007874015748,-39.37007874015748
6.0,4.800160005333511e-09,-39.37007874015748,-39.37007874015748,0.0
7.0,5.600186672889096e-09,0.0,-78.74015748031496,0.0
8.0,6.400213340444681e-09,0.0,-39.37007874015748,0.0
9.0,7.200240008000266e-09,0.0,0.0,0.0
10.0,8.000266675555851e-09,0.0,-39.37007874015748,0.0
11.0,8.800293343111436e-09,-39.37007874015748,0.0,-39.37007874015748
12.0,9.600320010667023e-09,0.0,-39.37007874015748,-39.37007874015748
13.0,1.0400346678222608e-08,0.0,-39.37007874015748,-39.37007874015748
14.0,1.1200373345778193e-08,0.0,-39.37007874015748,0.0
15.0,1.2000400013333778e-08,0.0,-39.37007874015748,39.37007874015748
16.0,1.2800426680889363e-08,-39.37007874015748,0.0,0.0
17.0,1.3600453348444948e-08,0.0,0.0,0.0
18.0,1.4400480016000532e-08,-39.37007874015748,-39.37007874015748,0.0
19.0,1.5200506683556117e-08,-39.37007874015748,0.0,0.0
20.0,1.6000533351111702e-08,0.0,0.0,0.0
21.0,1.6800560018667287e-08,0.0,0.0,-39.37007874015748
22.0,1.7600586686222872e-08,0.0,0.0,39.37007874015748
23.0,1.8400613353778457e-08,0.0,-39.37007874015748,0.0
24.0,1.9200640021334046e-08,0.0,-78.74015748031496,-39.37007874015748
25.0,2.000066668888963e-08,0.0,-39.37007874015748,0.0
26.0,2.0800693356445215e-08,-39.37007874015748,0.0,-39.37007874015748
27.0,2.16007200240008e-08,-39.37007874015748,0.0,0.0
28.0,2.2400746691556385e-08,0.0,-39.37007874015748,-39.37007874015748
29.0,2.320077335911197e-08,-39.37007874015748,-39.37007874015748,0.0
30.0,2.4000800026667555e-08,-39.37007874015748,0.0,-39.37007874015748
31.0,2.480082669422314e-08,0.0,-39.37007874015748,0.0
32.0,2.5600853361778725e-08,-39.37007874015748,-39.37007874015748,-39.37007874015748
33.0,2.640088002933431e-08,0.0,-39.37007874015748,-39.37007874015748
34.0,2.7200906696889895e-08,-39.37007874015748,-39.37007874015748,0.0
35.0,2.800093336444548e-08,0.0,0.0,0.0
36.0,2.8800960032001065e-08,-39.37007874015748,-39.37007874015748,0.0
37.0,2.960098669955665e-08,0.0,-39.37007874015748,0.0
38.0,3.0401013367112235e-08,0.0,-39.37007874015748,-39.37007874015748
39.0,3.120104003466782e-08,0.0,-39.37007874015748,-39.37007874015748
40.0,3.2001066702223405e-08,0.0,-39.37007874015748,0.0
41.0,3.280109336977899e-08,0.0,-39.37007874015748,0.0
42.0,3.3601120037334575e-08,0.0,-39.37007874015748,0.0
43.0,3.440114670489016e-08,-39.37007874015748,-39.37007874015748,0.0
44.0,3.5201173372445745e-08,-39.37007874015748,-39.37007874015748,-39.37007874015748
45.0,3.600120004000133e-08,0.0,0.0,0.0
46.0,3.6801226707556915e-08,0.0,0.0,0.0
47.0,3.76012533751125e-08,39.37007874015748,-39.37007874015748,0.0
48.0,3.840128004266809e-08,0.0,0.0,-39.37007874015748
49.0,3.920130671022367e-08,-39.37007874015748,-39.37007874015748,0.0
50.0,4.000133337777926e-08,-39.37007874015748,-39.37007874015748,-39.37007874015748
51.0,4.080136004533484e-08,-39.37007874015748,-39.37007874015748,0.0
52.0,4.160138671289043e-08,-39.37007874015748,0.0,-39.37007874015748
53.0,4.240141338044601e-08,0.0,0.0,0.0
54.0,4.32014400480016e-08,0.0,-39.37007874015748,0.0
55.0,4.400146671555718e-08,0.0,-39.37007874015748,-39.37007874015748
